STNID;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;_ID;_LATITUDE;_LONGITUDE;_ELEVATION;_STATE
USW00023233;5.2;6.2;7.1;7.9;10.2;11.7;12.8;13.2;12.4;9.8;7.0;4.9;USW00023233;36.6636;-121.6081;22.6;CA
USC00048200;4.2;5.9;8.7;11.3;16.4;20.2;24.2;23.6;19.8;14.1;7.8;3.2;USC00048200;35.9717;-116.2708;471.2;CA
USW00023234;6.8;7.9;8.7;9.5;10.9;12.1;13.0;13.5;13.2;11.8;9.3;7.0;USW00023234;37.6197;-122.3647;2.4;CA
USC00048207;-1.2;-0.8;1.0;2.1;5.9;9.3;12.5;12.2;9.8;5.7;1.1;-0.8;USC00048207;39.5678;-120.6228;1292.4;CA
USW00023237;3.2;4.6;6.0;7.7;10.9;13.8;15.6;15.1;13.6;9.8;5.5;2.9;USW00023237;37.8892;-121.2258;7.9;CA
USC00048218;-8.3;-6.7;-3.1;-1.3;2.2;5.4;7.4;6.2;3.1;-1.2;-5.1;-7.8;USC00048218;39.5833;-120.3706;1516.4;CA
USW00023239;8.0;9.4;10.4;11.1;12.3;13.4;14.2;14.7;14.9;13.7;11.1;8.5;USW00023239;37.7333;-122.3167;4.9;CA
USC00048273;4.2;4.2;4.9;5.6;8.8;10.2;14.3;14.1;13.4;10.2;6.4;4.2;USC00048273;37.3133;-122.185;691.9;CA
USW00023244;6.1;7.4;8.5;9.7;11.8;13.7;15.1;15.1;14.3;12.1;8.5;6.1;USW00023244;37.4058;-122.0481;11.9;CA
USC00048351;3.2;4.4;5.4;6.3;8.4;10.6;11.6;11.3;10.3;8.2;5.4;3.1;USC00048351;38.2994;-122.4622;29.6;CA
USW00023254;4.3;6.0;7.2;8.6;10.9;13.3;14.3;14.2;13.4;10.6;6.6;4.3;USW00023254;37.9917;-122.055;5.5;CA
USW00094299;-7.7;-5.7;-4.0;-1.8;2.0;5.0;7.1;5.9;1.7;-2.1;-5.1;-7.3;USW00094299;41.4914;-120.5644;1333.5;CA
USC00048353;0.2;1.1;2.8;4.2;7.2;10.5;13.4;12.7;10.1;5.8;2.3;0.1;USC00048353;37.9672;-120.3872;510.5;CA
USW00023257;2.6;3.9;5.4;7.3;10.8;14.3;16.0;15.2;13.1;9.2;4.8;2.2;USW00023257;37.2847;-120.5128;46.3;CA
USC00048380;-3.1;-2.8;-2.0;-0.4;3.2;6.9;10.1;9.6;7.1;2.8;-1.1;-3.6;USC00048380;37.5072;-119.6331;1538.3;CA
USW00023258;4.5;6.2;7.9;9.6;12.7;15.4;17.3;16.8;15.1;11.4;7.1;4.3;USW00023258;37.6242;-120.9506;22.3;CA
USC00048490;2.6;2.8;3.5;4.7;7.0;9.9;11.4;11.1;9.7;6.7;4.3;2.1;USC00048490;39.8778;-123.7275;260;CA
