STNID;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;_ID;_LATITUDE;_LONGITUDE;_ELEVATION;_STATE
USW00003166;44.6;47.6;50.1;52.4;57.7;61.1;64.5;65.3;63.2;57.3;49.7;44.8;USW00003166;33.8719;-117.9789;29.3;CA
USC00047846;38.2;42.2;46.4;49.6;55.4;59.7;64.4;64;60.8;53.7;44.8;38.2;USC00047846;37.0533;-121.0578;84.4;CA
USW00003167;48.9;50.5;52.9;54.9;58.5;60.8;64;64.7;63.6;59.6;53.5;48.5;USW00003167;33.9228;-118.3342;19.2;CA
USC00047851;43.6;44.8;45.8;47;49.2;52.1;54.5;54.8;54.3;51.5;47.1;43.1;USC00047851;35.3039;-120.665;93.9;CA
USC00047874;39.2;41.5;44.3;47.2;52;55.5;59;59.9;57;50.8;42.9;37.9;USC00047874;33.0956;-116.9975;128;CA
USW00003171;43.3;44.2;46.5;50.4;55.6;59.7;63.9;64.5;61.9;54.9;46.9;42.5;USW00003171;33.9519;-117.4386;245.4;CA
USW00023187;37.2;37.9;39.3;42;48.8;56.4;63.6;63.8;59.8;51.4;42.5;36.7;USW00023187;34.7436;-118.7242;1374.6;CA
USC00047880;41.8;43.8;45.3;47.3;50.1;53.4;54.9;55.2;54.2;51;45.9;41.8;USC00047880;37.9983;-122.5372;36.6;CA
USW00003177;47;48;50;52.5;56.8;59.5;63.4;64.7;62.7;57.9;51.3;46.5;USW00003177;33.1281;-117.2794;100;CA
USW00023188;49;50.7;53.2;55.9;59.4;62;65.4;66.7;65.2;60.6;53.6;48.4;USW00023188;32.7336;-117.1831;4.6;CA
USC00047888;47;48;50;52.7;56.7;59.8;63.2;63.8;62.2;57.9;51.2;46.2;USC00047888;33.7442;-117.8667;41.1;CA
USW00003178;43.8;45.6;46.4;49.5;54;56.9;60.3;61.9;60.2;55;46.5;43.3;USW00003178;32.5722;-116.9794;157;CA
USW00023190;40.7;43.7;45.8;47.8;51.2;54.2;57.8;57.6;55.8;51.1;44.4;40.2;USW00023190;34.4258;-119.8425;2.7;CA
USC00047902;46.4;48.1;49.8;51.8;54.6;57.5;60.4;60.4;59.6;56.2;50.3;46.7;USC00047902;34.4167;-119.6844;1.5;CA
USW00003179;39.2;40.7;43.9;45.7;51.8;55.6;59.8;60;56.4;51;42.4;37.7;USW00003179;33.9753;-117.6361;198.1;CA
USW00023191;49.5;48.2;48.5;48.9;52.1;54.3;59.5;61.7;61.5;57.7;53;48.6;USW00023191;33.405;-118.4158;488.3;CA
USC00047916;41.3;43.3;44.4;46;48.9;51.8;54;54.3;53;49.5;44.9;41.2;USC00047916;36.9906;-121.9911;39.6;CA
USC00047953;51.1;51.6;52.7;54.4;57.1;60.1;62.8;63.3;62.6;59.8;55.1;51;USC00047953;34.0075;-118.4997;4.3;CA
USC00047957;41.1;42.5;43.9;45.9;50;53.1;56.9;56.1;54.7;50.2;44.4;41.1;USC00047957;34.3119;-119.1331;72.2;CA
USW00023199;43.4;46.7;51.5;56.7;63;70.6;77.4;78.3;72.1;60.6;49.2;40.7;USW00023199;32.8167;-115.6833;-12.8;CA
USC00047965;39.2;41.3;43;44.8;48.3;51.7;52.4;52.6;51.5;48.3;42.8;38.9;USC00047965;38.4381;-122.6978;53;CA
USW00023213;36.6;39.1;41.5;42.4;46.4;50;51.9;51.1;49.3;45;40.4;36.5;USW00023213;38.5039;-122.8103;34.7;CA
USC00048025;31.1;30.9;33.6;35.9;41.6;47.7;53.6;52.4;46.8;40.4;34;31.4;USC00048025;41.3011;-123.1331;661.1;CA
USW00023225;34.6;34.2;35.5;38.8;46.3;54;62;61.1;56.1;47.9;38.2;33.4;USW00023225;39.2775;-120.7103;1608.1;CA
USC00048045;43.3;43.6;44.2;46;49.4;52.6;54.3;54.9;52.4;49.2;45.6;42.4;USC00048045;40.4831;-124.1036;41.5;CA
USW00023230;41.7;44.2;46.1;48.3;51.1;53.8;55.5;55.7;54.4;51.3;45.4;41.5;USW00023230;37.7214;-122.2208;1.8;CA
USC00048135;39.5;41.4;43.6;47.4;55;62.5;68.3;66.8;62.2;54.4;45.4;40;USC00048135;40.7142;-122.4161;327.7;CA
USW00023232;38.8;41.4;44.1;46.2;51.1;55.8;58.4;58;55.7;50.2;42.8;38.4;USW00023232;38.5069;-121.495;4.6;CA
USC00048163;46;46.2;46;46.6;49.1;51.7;52.6;53;53.3;51.8;48.6;46.2;USC00048163;40.0331;-124.0728;75;CA
USW00023233;41.3;43.2;44.7;46.3;50.3;53.1;55.1;55.7;54.3;49.7;44.6;40.8;USW00023233;36.6636;-121.6081;22.6;CA
USC00048200;39.6;42.7;47.6;52.4;61.6;68.3;75.5;74.5;67.7;57.4;46.1;37.8;USC00048200;35.9717;-116.2708;471.2;CA
USW00023234;44.2;46.3;47.7;49.1;51.6;53.8;55.4;56.3;55.8;53.2;48.7;44.6;USW00023234;37.6197;-122.3647;2.4;CA
USC00048207;29.9;30.6;33.8;35.8;42.7;48.7;54.5;54;49.7;42.3;33.9;30.5;USC00048207;39.5678;-120.6228;1292.4;CA
USW00023237;37.7;40.2;42.8;45.9;51.6;56.8;60;59.2;56.5;49.7;41.9;37.2;USW00023237;37.8892;-121.2258;7.9;CA
USC00048218;17.1;20;26.4;29.6;35.9;41.7;45.3;43.2;37.5;29.8;22.8;18;USC00048218;39.5833;-120.3706;1516.4;CA
USW00023239;46.4;48.9;50.8;51.9;54.2;56.2;57.5;58.4;58.9;56.6;52;47.3;USW00023239;37.7333;-122.3167;4.9;CA
USC00048273;39.5;39.6;40.8;42.1;47.8;50.4;57.8;57.4;56.1;50.4;43.6;39.5;USC00048273;37.3133;-122.185;691.9;CA
USW00023244;42.9;45.3;47.3;49.4;53.2;56.6;59.1;59.2;57.7;53.8;47.3;42.9;USW00023244;37.4058;-122.0481;11.9;CA
USC00048351;37.8;39.9;41.8;43.3;47.1;51;52.8;52.3;50.5;46.8;41.7;37.6;USC00048351;38.2994;-122.4622;29.6;CA
USW00023254;39.7;42.8;45;47.4;51.7;55.9;57.7;57.5;56.1;51.1;43.9;39.8;USW00023254;37.9917;-122.055;5.5;CA
USW00094299;18.2;21.8;24.8;28.7;35.6;41;44.8;42.7;35;28.3;22.9;18.8;USW00094299;41.4914;-120.5644;1333.5;CA
USC00048353;32.3;34;37;39.6;44.9;50.9;56.2;54.8;50.1;42.4;36.1;32.1;USC00048353;37.9672;-120.3872;510.5;CA
USW00023257;36.7;39.1;41.8;45.1;51.4;57.8;60.8;59.4;55.5;48.6;40.7;35.9;USW00023257;37.2847;-120.5128;46.3;CA
USC00048380;26.4;26.9;28.4;31.2;37.7;44.5;50.1;49.3;44.8;37.1;30;25.6;USC00048380;37.5072;-119.6331;1538.3;CA
USW00023258;40.1;43.2;46.3;49.3;54.9;59.8;63.1;62.3;59.2;52.6;44.8;39.8;USW00023258;37.6242;-120.9506;22.3;CA
USC00048490;36.6;37.1;38.3;40.5;44.6;49.9;52.5;51.9;49.4;44;39.8;35.7;USC00048490;39.8778;-123.7275;260;CA
USW00023259;42.5;44.7;45.6;46.9;49.9;52;53.6;54.2;53.1;50.1;45.8;42.3;USW00023259;36.5881;-121.8453;50.3;CA
USC00048560;37.8;41.2;44.5;47.3;52.7;56.8;59.1;58.1;55.7;49.5;41.9;37.3;USC00048560;37.9994;-121.3178;3.7;CA
USW00023271;40.7;43.7;46.5;49;53.9;58.4;60.9;60.5;58.4;52.8;45.5;40.4;USW00023271;38.5556;-121.4169;11.6;CA
USC00048587;32.8;34.9;37.4;40.5;47.3;54.6;59.9;57.7;52.9;45;36.9;32.2;USC00048587;39.5858;-122.5339;243.8;CA
USW00023272;45.7;47.5;48.5;49.2;51;52.8;54.1;55.1;55.1;53.7;50.1;46.1;USW00023272;37.7706;-122.4269;45.7;CA
USC00048606;30;30.5;32.5;35.5;41.6;47.8;52.2;51.1;47.6;41;34;30.2;USC00048606;39.5631;-121.1078;1160.7;CA
USW00023273;39.5;41.7;43;44;47.4;50.6;53.8;54.2;52.7;48.7;43;39.1;USW00023273;34.8994;-120.4486;73.8;CA
