X,Y,id,gen,feb,mar,apr,mag,giu,lug,ago,sett,ott,nov,dic,_LATITUDE,_LONGITUDE,_ELEVATION,_STATE,tot_mesi
-123.9089,40.4864,USC00043647,177.43,181.32,233.62,93.5,56.6,17.58,3.06,20.03,39.43,96.32,233.17,243.12,40.4864,-123.9089,125.9,CA,1395.18
-117.9528,36.1389,USC00043710,23.16,20.1,35.87,8.53,5.43,1.76,12.4,16.07,7.14,4.21,28.09,23.77,36.1389,-117.9528,1165.9,CA,186.53
-122.4433,37.4725,USC00043714,129.49,109.68,138.26,40.48,15.76,5.38,2.39,4.82,17.83,51.4,116.64,112.21,37.4725,-122.4433,8.2,CA,744.34
-119.6369,36.3158,USC00043747,34,30.44,44.48,20.08,4.24,1.27,3.87,0.13,5.78,10.01,26.68,25.33,36.3158,-119.6369,72.2,CA,206.31
-121.5433,40.9317,USC00043824,58.58,56.94,81.21,28.79,30.21,13.37,4.63,9.71,25.79,31.29,80.5,54.42,40.9317,-121.5433,919,CA,475.44
-115.6289,33.7044,USC00043855,11.71,10.33,15.56,2.2,1.26,0.2,6.31,31.15,5.99,8.64,11.19,14.24,33.7044,-115.6289,417.6,CA,118.78
-122.8731,38.6175,USC00043875,188.72,167.5,196.39,54.52,24.43,2.44,0.31,4.38,21.53,60.52,182.47,169.64,38.6175,-122.8731,32.9,CA,1072.85
-116.8939,33.7381,USC00043896,46.25,37.87,51.97,22.93,5.07,1.67,6.41,10.82,12.4,11.61,30.91,32.45,33.7381,-116.8939,552,CA,270.36
-116.7614,33.2372,USC00043914,103.19,97.43,132.92,46.03,7.4,2.5,15.54,22.14,19.7,25.66,87.65,95.8,33.2372,-116.7614,823,CA,655.96
-119.7831,37.9614,USC00043939,116.29,142.52,167.17,74.72,34.46,14.49,4.35,3.76,41.96,63.35,151.58,111.32,37.9614,-119.7831,1179.6,CA,925.97
-121.4214,36.8483,USC00044025,49.54,53.41,63.43,24.81,6.69,1.32,0,0.66,13.32,18.55,63.1,40.66,36.8483,-121.4214,83.8,CA,335.49
-119.2206,37.2275,USC00044176,151.77,188.69,204.39,83.17,34.19,12.19,10.66,9.14,46.43,62.97,151.6,140.15,37.2275,-119.2206,2139.7,CA,1095.35
-116.7067,33.7572,USC00044211,108.22,95.68,107.01,47.62,9.58,2.92,26.48,30.88,30.91,31.37,95,88.8,33.7572,-116.7067,1639.8,CA,674.47
-115.5667,32.8489,USC00044223,6.98,8.79,8.27,0.31,0.13,0.03,2.23,10.75,7.6,11.07,6.06,14.14,32.8489,-115.5667,-19.5,CA,76.36
-118.2036,36.7981,USC00044232,20.58,17.57,14.9,8.09,2.78,3.85,1.99,5.98,3.48,4.46,21.64,17.15,36.7981,-118.2036,1204,CA,122.47
-116.2153,33.7086,USC00044259,9.55,11.5,18.29,1.08,2.41,0.71,2.34,37.73,2.66,9.08,6.68,18.88,33.7086,-116.2153,-6.4,CA,120.91
-117.8214,35.6514,USC00044278,19.57,14.04,16.36,3.87,2.92,0.94,5.03,14.54,3.14,0.92,13.23,23.72,35.6514,-117.8214,740.7,CA,118.28
-115.1219,34.1472,USC00044297,9.13,8.47,10.9,1.36,4.1,0.28,10.13,12.9,4.55,9.93,9.22,15.69,34.1472,-115.1219,281,CA,96.66
-120.2947,41.2683,USC00044374,37.64,40.66,54.69,46.72,53.04,33.53,12.14,13.47,31.59,30.52,63.29,56.87,41.2683,-120.2947,1645.9,CA,474.16
-122.5439,37.9569,USC00044500,218.72,217.63,240.51,49.98,29.02,2.76,0.1,1.27,16.7,52.76,242.13,204.01,37.9569,-122.5439,44.2,CA,1275.59
-118.4389,35.7831,USC00044523,59.31,59.47,68.92,21.71,7.93,1.59,6.69,8.68,9.2,10.88,51.95,43.8,35.7831,-118.4389,823.9,CA,350.13
-121.1378,36.2069,USC00044555,43.71,41.56,65.54,21.52,4.45,0.92,0.13,0.26,6.3,13.65,39.54,42.69,36.2069,-121.1378,97.5,CA,280.27
-124.0747,41.5786,USC00044577,256.63,276.41,289.85,126.43,107.75,57.4,14.05,21.06,39.59,139.48,318.71,349.24,41.5786,-124.0747,8.5,CA,1996.6
-117.7814,33.5453,USC00044647,38.97,41.34,58.73,24.41,6.5,1.07,1.04,1.98,12.35,15,42.82,39.96,33.5453,-117.7814,13.4,CA,284.17
-117.1883,34.2467,USC00044671,159.93,131.77,174.28,73.26,14.35,0.92,2.11,12.85,37.78,63.56,140.46,110.11,34.2467,-117.1883,1586.5,CA,921.38
-122.0039,38.4919,USC00044712,110.69,97.42,109.5,32.74,8.87,1.69,0.21,0.67,12.61,27.63,104.67,89.64,38.4919,-122.0039,57.9,CA,596.34
-120.6392,39.3183,USC00044713,253.42,309.92,320.19,132.92,71.8,25.83,5.08,9.37,74.65,128.45,322.98,262.99,39.3183,-120.6392,1571.5,CA,1917.6
