STNID,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,_ID,_LATITUDE,_LONGITUDE,_ELEVATION,_STATE
USC00045721,3.9490,4.5500,6.4600,10.0890,14.3270,19.9630,21.9450,21.1700,17.3730,12.8170,6.7790,3.3910,USC00045721,34.9436,-115.5469,1326,CA
USC00045756,0.6230,2.4460,5.3650,8.5210,12.9080,17.2530,19.8300,18.7820,15.3980,9.5880,4.3930,0.1870,USC00045756,35.0492,-118.1619,834,CA
USC00045790,8.0250,8.4120,9.6100,11.7350,13.5350,15.7060,17.7230,18.0300,17.4130,14.3120,10.2970,7.7370,USC00045790,34.0192,-118.1053,75,CA
USC00045795,5.7380,6.3450,6.9110,7.5690,8.3660,9.8710,10.7770,11.4740,11.3350,10.0680,7.8620,5.7970,USC00045795,36.5903,-121.91,117,CA
USC00045802,4.8380,6.1730,7.2190,8.7530,9.4970,11.1240,11.8110,12.2830,11.4960,9.6540,7.3420,5.0670,USC00045802,36.5928,-121.8556,37,CA
USC00045866,6.4120,7.5980,8.3700,9.0740,9.7560,11.4640,12.6900,13.2670,12.7650,11.2180,9.3110,6.4590,USC00045866,35.3672,-120.8456,35,CA
USC00045915,4.3060,4.4950,4.8120,6.9840,8.9980,12.1710,15.2480,14.8310,13.6490,10.4680,6.6550,4.2940,USC00045915,37.8792,-121.9303,661,CA
USC00045933,3.6370,3.3070,3.3650,5.8780,8.5120,13.4290,17.5610,17.4910,14.2420,10.4660,5.2140,3.1590,USC00045933,37.3436,-121.6425,1282,CA
USC00046006,2.0870,2.2460,2.7270,5.1610,8.7590,13.5310,16.8340,16.4400,13.5040,9.3730,4.3820,2.3330,USC00046006,34.2308,-118.0711,1740,CA
USC00046074,3.2450,4.8940,6.2210,7.4760,9.4240,11.8070,12.5120,12.5500,11.5500,9.3690,5.9420,3.4290,USC00046074,38.2778,-122.2647,11,CA
USC00046136,1.5820,1.9090,3.3850,5.2980,8.1030,12.2460,14.5840,14.3700,12.1010,8.1940,3.6100,1.4170,USC00046136,39.2467,-121.0008,848,CA
USC00046144,4.9710,6.9750,8.6420,10.6190,11.4460,13.5700,14.2730,14.5550,14.0050,11.7860,8.5130,5.2020,USC00046144,37.5147,-122.0325,3,CA
USC00046154,-0.2400,1.2170,2.8910,4.2510,7.2880,10.3950,12.8870,12.4980,9.4700,5.6520,1.7740,-0.4570,USC00046154,34.9456,-119.6828,658,CA
USC00046161,5.5690,5.8830,7.4280,10.0340,11.3000,13.4800,15.9350,18.1300,16.5530,12.9620,8.5840,6.5350,USC00046161,34.3933,-118.5939,538,CA
