ID;LATITUDE;LONGITUDE;ELEVATION;STATE;NAME;GSNFLAG;HCNFLAG;WMOID;METHOD;field_11;field_12;field_13;field_14
USC00048752;35.1503;-119.43;235.6;CA;TAFT;;;;;;;;
USC00048758;39.1678;-120.1428;1898.9;CA;TAHOE;CITY;HCN;;;;;;
USC00048917;36.465;-118.8619;347.5;CA;THREE;RVRS;EDISON;PH;1;;;;
USC00048928;38.4461;-120.4992;717.8;CA;TIGER;CREEK;PH;;;;;;
USC00049001;37.7967;-121.5828;18.6;CA;TRACY;PUMPING;PLT;;;;;;
USC00049026;40.7264;-122.7947;567.2;CA;TRINITY;RIVER;HATCHERY;;;;;;
USC00049043;39.3331;-120.173;1774.9;CA;TRUCKEE;RS;;;;;;;
USC00049053;41.96;-121.4744;1229.9;CA;TULELAKE;;;;;;;;
USC00049073;37.5006;-120.855;35.1;CA;TURLOCK;#2;;;;;;;
USC00049087;33.7025;-117.7539;71.6;CA;TUSTIN;IRVINE;RCH;HCN;;;;;
USC00049099;34.1281;-116.0369;602;CA;TWENTYNINE;PALMS;;;;;;;
USC00049122;39.1467;-123.2103;193.9;CA;UKIAH;HCN;;;;;;;
USC00049152;34.0697;-118.4428;131.1;CA;U;C;L;A;;;;;
USC00049200;38.3956;-121.9608;33.5;CA;VACAVILLE;HCN;;;;;;;
USC00049325;34.535;-117.3058;871.1;CA;VICTORVILLE;PUMP;PT;;;;;;
USC00049378;33.2294;-117.2269;155.4;CA;VISTA;2;NNE;;;;;;
USC00049440;38.7161;-122.9975;68.3;CA;WARM;SPRINGS;DAM;;;;;;
USC00049452;35.5892;-119.3519;88.7;CA;WASCO;HCN;;;;;;;
USC00049473;36.9308;-121.7692;29;CA;WATSONVILLE;WTR;WKS;;;;;;
USC00049490;40.7222;-122.9331;599.8;CA;WEAVERVILLE;HCN;;;;;;;
USC00049621;40.6117;-122.5281;394.7;CA;WHISKEYTOWN;RSVR;;;;;;;
USC00049671;36.2656;-117.1853;1249.7;CA;WILDROSE;RS;;;;;;;
USC00049684;39.4194;-123.3425;412.4;CA;WILLITS;1;NE;;;;;;
USC00049699;39.5231;-122.3058;71;CA;WILLOWS;6;W;HCN;;;;;
USC00049742;38.5228;-121.9683;41.1;CA;WINTERS;;;;;;;;
USC00049781;38.6828;-121.7942;21;CA;WOODLAND;1;WNW;;;;;;
USC00049792;37.4286;-122.2567;115.8;CA;WOODSIDE;FIRE;STN;1;;;;;
USC00049822;34.3617;-117.6386;1828.8;CA;WRIGHTWOOD;;;;;;;;
USC00049855;37.75;-119.5897;1224.7;CA;YOSEMITE;PARK;HQ;HCN;;;;;
USC00049866;41.7036;-122.6408;800.1;CA;YREKA;HCN;;;;;;;
USW00003102;34.0561;-117.6003;289.3;CA;ONTARIO;INTL;AP;;;;;;
USW00003104;33.6267;-116.1594;-36;CA;DESERT;RESORTS;RGNL;AP;;;;;
USW00003122;33.8017;-118.3411;27.4;CA;TORRANCE;AP;;;;;;;
USW00003131;32.8158;-117.1394;127.1;CA;SAN;DIEGO;MONTGOMERY;FLD;;;;;
USW00003144;32.8342;-115.5786;-17.7;CA;IMPERIAL;CO;AP;;;;;;
USW00003154;33.3;-117.35;22.9;CA;CAMP;PENDLETON;MCAS;;;;;;
USW00003159;34.7411;-118.2117;712.6;CA;LANCASTER;WM;J;FOX;FLD;;;;
USW00003164;32.6233;-116.4728;801.6;CA;CAMPO;;;;;;;;
USW00003166;33.8719;-117.9789;29.3;CA;FULLERTON;MUNI;AP;;;;;;
USW00003167;33.9228;-118.3342;19.2;CA;HAWTHORNE;MUNI;AP;;;;;;
USW00003171;33.9519;-117.4386;245.4;CA;RIVERSIDE;MUNI;AP;;;;;;
USW00003177;33.1281;-117.2794;100;CA;CARLSBAD;PALOMAR;AP;;;;;;
USW00003178;32.5722;-116.9794;157;CA;SAN;DIEGO;BROWN;FLD;;;;;
USW00003179;33.9753;-117.6361;198.1;CA;CHINO;AP;;;;;;;
USW00023110;36.3333;-119.95;70.7;CA;LEMOORE;REEVES;NAS;74702;;;;;
USW00023129;33.8117;-118.1464;9.4;CA;LONG;BEACH;DAUGHERTY;FLD;72297;;;;
USW00023130;34.2097;-118.4892;234.7;CA;VAN;NUYS;AP;;;;;;
USW00023136;34.2167;-119.0833;23.5;CA;CAMARILLO;AP;;;;;;;
