STNID;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;_ID;_LATITUDE;_LONGITUDE;_ELEVATION;_STATE
USC00049325;60.3;62.9;69;75.4;84.7;93.5;99.5;98.9;92.8;81.1;68.8;59.4;USC00049325;34.535;-117.3058;871.1;CA
USC00049351;40.1;44.4;50.5;57;66.4;75.3;84.8;83.9;77.9;66.2;51.9;41.0;USC00049351;39.8056;-120.1858;1508.8;CA
USC00049367;54.6;61.3;67.3;73.4;81.6;89.1;94.1;92.8;87.7;78.2;64.1;54.5;USC00049367;36.3283;-119.2992;99.1;CA
USC00049378;66.5;66.3;67.4;70.7;72.3;75.5;80.2;81.9;81.3;76.7;71.1;65.9;USC00049378;33.2294;-117.2269;155.4;CA
USC00049440;57.5;61.5;66.6;71.2;78.1;84.6;89.7;88.6;85.7;77.9;66.0;57.5;USC00049440;38.7161;-122.9975;68.3;CA
USC00049452;57.4;64.7;71.4;78.3;87.1;94.2;99.9;98.5;92.6;82.2;67.4;57.3;USC00049452;35.5892;-119.3519;88.7;CA
USC00049473;60.9;62.7;64.4;67.6;69.2;71.3;71.6;72.3;73.6;72.2;66.5;60.8;USC00049473;36.9308;-121.7692;29;CA
USC00049490;48.2;54.6;60.9;67.2;76.6;85.5;94.5;93.9;87.5;74.6;55.9;46.4;USC00049490;40.7222;-122.9331;599.8;CA
USC00049621;53.6;57.4;63.1;69.2;78.1;87.3;96.6;96.2;89.8;76.8;60.6;53.0;USC00049621;40.6117;-122.5281;394.7;CA
USC00049671;53.3;55.7;63.4;71.3;81.3;90.2;95.9;94.3;86.5;73.7;60.9;52.1;USC00049671;36.2656;-117.1853;1249.7;CA
USC00049684;52.9;55.8;58.7;61.9;68.6;75.1;82.8;82.3;79.7;71.6;58.8;52.0;USC00049684;39.4194;-123.3425;412.4;CA
USC00049694;53.5;57;63;69.9;77.6;86.2;95.2;94.5;87.9;74.6;58.8;50.4;USC00049694;40.9467;-123.6364;141.4;CA
USC00049699;58.2;63.4;68.8;75.6;83.4;90.7;95.5;94.5;91.2;81.9;67.3;58.3;USC00049699;39.5231;-122.3058;71;CA
USC00049742;56.1;62.5;68.6;75.4;84.1;91.6;96.7;95.6;91.3;81.1;66.7;56.6;USC00049742;38.5228;-121.9683;41.1;CA
USC00049781;54.3;60.7;66.9;73.7;81.9;89.7;95.2;94.2;89.4;79.0;64.3;54.6;USC00049781;38.6828;-121.7942;21;CA
USC00049785;67.2;67.9;72.8;76.2;80.8;87.2;93.3;97.1;92.8;83.5;75.1;67.4;USC00049785;34.1819;-118.5744;240.8;CA
USC00049792;60.5;64.3;68.4;73;78.6;84.2;88.4;88.2;86.4;79.4;67.3;60.3;USC00049792;37.4286;-122.2567;115.8;CA
USC00049822;46.2;47.6;53.3;60.1;69.1;77.6;83.1;80.6;74.0;63.6;53.6;47.3;USC00049822;34.3617;-117.6386;1828.8;CA
USC00049847;68.3;69.1;71.3;75.3;77.6;79.9;86;88.3;86.2;81.0;73.5;68.6;USC00049847;33.89;-117.8189;106.7;CA
USC00049855;47.8;51.5;57.5;63.6;71.4;81.1;89.2;89.1;82.4;71.0;56.0;46.7;USC00049855;37.75;-119.5897;1224.7;CA
USC00049859;58.1;62.8;66.7;71.5;78.9;84.4;85.9;86.5;84.8;78.5;66.5;58.6;USC00049859;38.395;-122.3567;29;CA
USC00049866;45.7;51.4;58;64.4;73.3;81.9;91.8;91.3;83.0;70.0;52.9;44.8;USC00049866;41.7036;-122.6408;800.1;CA
USW00024213;55.6;56.1;56.7;57.7;60.1;62.2;63.4;64.3;63.7;61.7;58.0;55.0;USW00024213;40.8097;-124.1603;6.1;CA
USW00024215;45.3;48.6;54.4;60.9;69.1;77.1;85.8;85.2;78.0;66.0;51.3;44.3;USW00024215;41.3325;-122.3328;1077.5;CA
USW00024216;54.9;60;64.9;71.2;81.1;90;97.2;95.7;90.0;78.2;62.7;54.3;USW00024216;40.1519;-122.2536;107.6;CA
USW00004222;53.5;56.8;61.6;67.5;76.3;85.7;94.9;94.1;88.2;75.2;59.8;51.6;USW00004222;40.6508;-122.6067;432.2;CA
USW00024257;55;59.7;64.5;70.5;80.8;90.2;98.4;96.6;90.4;77.8;62.5;54.5;USW00024257;40.5175;-122.2986;151.5;CA
USW00024259;44.6;50.5;56.3;60.9;71.7;80.3;91.3;89.7;81.3;67.6;50.4;44.2;USW00024259;41.7806;-122.4717;803.1;CA
USW00024283;54.8;54.9;55.4;56.2;58.6;60.5;61.8;62.8;63.1;62.0;57.1;54.2;USW00024283;40.9781;-124.1086;61;CA
USW00024286;54.6;53.4;54.6;54.6;57.7;60.4;61.1;62.4;61.8;60.4;56.0;54.1;USW00024286;41.7803;-124.2367;17.1;CA
USW00053119;54.3;61.5;68.1;74.9;84;90.7;95.6;95.4;90.4;79.2;64.8;54.3;USW00053119;36.3189;-119.6289;75.9;CA
USW00053120;65.4;64.8;66.4;70.1;75.5;82.5;88.3;90.3;87.0;79.2;71.1;64.8;USW00053120;33.0375;-116.9158;424.6;CA
USW00053121;65.8;65.2;65.2;67.9;69.7;72.5;75.9;76.9;76.5;73.7;69.8;65.3;USW00053121;33.2194;-117.3494;8.5;CA
USW00053139;63.9;69.1;78.5;87.8;97.9;107.9;114.1;112;102.8;88.9;72.5;60.9;USW00053139;-36.6019;-117.145;25.6;CA
USW00053144;59;62.7;69.9;75.6;85.9;93.9;100.2;99.9;92.4;80.4;69.5;58.4;USW00053144;34.9883;-117.8647;695.9;CA
USW00053150;42.5;42.6;44.9;49.4;59.4;67.4;74.2;75.1;69.5;59.4;49.2;42.5;USW00053150;37.7592;-119.8208;2017.8;CA
USW00053151;67.4;67.7;68.8;71;75.6;81.3;86.2;89.7;88.3;80.8;73.9;66.6;USW00053151;33.4392;-117.1903;347.5;CA
USW00053152;60.2;62.4;62.2;65.1;68.1;69;71.3;70.5;71.0;70.1;66.0;61.2;USW00053152;34.4142;-119.8797;5.5;CA
USC00040029;47;49.8;55.5;62.2;70.4;78.5;88.3;88;80.9;68.6;52.7;44.6;USC00040029;41.1936;-120.9447;1278.6;CA
USC00040136;63.7;64.2;66.1;70.3;74.6;80.5;86.6;87.8;85.1;77.6;69.7;63.3;USC00040136;32.8358;-116.7775;516.6;CA
USC00040161;44.4;47.7;54;60.3;69.7;79.3;89.5;88.6;80.4;67.5;51.9;42.4;USC00040161;41.4931;-120.5528;1341.1;CA
USC00040192;71;71;72.8;75.5;78.4;81.4;86.6;88.7;86.9;81.7;75.7;70.2;USC00040192;33.8647;-117.8425;102.1;CA
USC00040212;53.5;56.2;60.7;66.6;73.8;80.8;86;85.5;81.7;72.6;59.5;52.8;USC00040212;38.5731;-122.4406;522.7;CA
USC00040232;53.9;60;65.5;71.4;79.2;86.1;91.4;90;86.0;76.8;63.8;54.4;USC00040232;37.9856;-121.7458;18.3;CA
USC00040343;59.6;62.6;66.7;71.6;81.7;91.5;99.3;98.7;92.7;81.4;67.5;59.4;USC00040343;36.4914;-118.8253;520.6;CA
USC00040379;54.3;56.9;60.8;67.3;77.5;86.7;93.5;92.4;86.2;74.6;61.4;53.7;USC00040379;37.0919;-119.5128;637;CA
USC00040383;54.5;58.4;62.5;67.5;76.2;84.7;91.7;90.9;85.3;75.5;62.0;54.4;USC00040383;38.9072;-121.0839;393.8;CA
USC00040436;62.7;67.6;76.1;84.7;94.5;104;109.2;107.6;99.9;86.6;71.7;60.9;USC00040436;35.2761;-116.0628;293.2;CA
USC00040444;57.1;63.2;68.5;74.8;82.8;91.6;96.7;95.7;90.4;80.2;66.1;57.2;USC00040444;35.4186;-119.0508;143.3;CA
USC00040449;52.6;57.3;63.9;70.1;78.5;86.5;94.6;94.9;89.3;77.6;60.5;51.8;USC00040449;36.9092;-119.0883;524.3;CA
USC00040521;59.1;63.1;69.5;76.4;85.8;95.1;100.8;99.5;92.4;80.4;67.2;57.6;USC00040521;34.8928;-117.0219;676.7;CA
USC00040673;61.5;63.6;67.3;71.7;76.5;81.7;84.9;85.7;84.5;78.4;67.6;60.5;USC00040673;37.0856;-122.0797;128;CA
USC00040693;58.4;61.6;64.2;66.8;69.7;73.2;73.9;74.3;74.8;72.5;64.8;58.6;USC00040693;37.8744;-122.2606;94.5;CA
USC00040738;49.6;55.9;62.9;68.5;77.8;86.4;95.7;95.6;88.3;74.8;56.7;48.2;USC00040738;40.7406;-123.2078;381.9;CA
USC00040741;47;47.1;52.1;58.7;68.1;76.2;81.2;79.8;74.1;64.0;54.4;47.6;USC00040741;34.2442;-116.9039;2060.4;CA
USC00040755;49.5;49.9;51.6;55.8;63.8;72.1;80.1;80.2;74.3;64.6;54.5;49.2;USC00040755;37.2064;-119.2419;1486.8;CA
USC00040790;59.7;61.5;63.4;68.3;72.6;75.9;75.6;77.3;77.1;73.2;64.5;59.9;USC00040790;36.2472;-121.7803;61;CA
USC00040924;67.9;73;80.1;88.1;97.2;105.4;108.9;107.6;102.1;90.0;76.5;66.3;USC00040924;33.6131;-114.5972;81.7;CA
USC00040931;42.8;45.1;51.3;57.6;66.5;75.8;84.5;84.1;77.0;66.0;51.7;42.1;USC00040931;39.3886;-120.0936;1699.3;CA
USC00040943;40.4;41.2;45.3;51.4;61.3;70.4;77.6;76.9;70.6;60.3;48.6;40.9;USC00040943;38.2119;-119.0142;2551.2;CA
USC00040983;69;71.5;77.7;84.4;93.2;102;106.8;105.7;100.3;89.2;76.9;68.1;USC00040983;33.2314;-116.4144;245.4;CA
USC00041018;45.9;46.8;49.7;54.5;63.4;72.9;81.3;81.1;75.4;65.0;52.5;45.1;USC00041018;39.4539;-120.6556;1641.3;CA
USC00041048;70.8;74.1;79.9;86.3;94.7;103;107.2;106.6;102.3;91.3;79.0;69.6;USC00041048;32.9544;-115.5581;-30.5;CA
USC00041072;40.7;44.3;51.2;59;66.8;75.7;83.6;82.4;75.6;65.5;52.7;42.4;USC00041072;38.2575;-119.2286;1972.1;CA
USC00041214;43;48.9;55.5;61.9;71.6;80.4;89;88.6;82.0;68.9;51.3;42.7;USC00041214;40.8803;-121.6547;974.8;CA
USC00041244;55.7;62.8;69;75.8;84.6;91.7;96.9;95.7;90.5;80.7;66.2;56.3;USC00041244;35.4047;-119.4731;82;CA
USC00041253;66.3;67.3;70.1;74.6;79.6;85.3;91.5;92.1;89.1;82.6;73.6;66.4;USC00041253;34.5825;-119.9817;238.7;CA
USC00041277;44;44.9;48.5;54.1;63.4;73.1;80.4;79.7;72.9;62.6;50.4;43.2;USC00041277;38.2769;-120.3114;1431;CA
USC00041312;59.5;62.9;67.2;72.4;78.7;85.9;91.4;90.7;87.9;79.3;66.4;58.5;USC00041312;38.5961;-122.6014;121.9;CA
USC00041316;45.3;50.7;56.9;62.9;70.8;78.7;87.1;86.4;79.5;67.6;51.3;44.2;USC00041316;41.3111;-122.8045;970.8;CA
USC00041428;52.9;58.6;63.4;69.4;78.9;87.7;94.2;93;87.6;76.9;62.4;53.4;USC00041428;38.2486;-120.8433;200.6;CA
USC00041476;42.3;46.1;52.7;58.9;68.3;77.1;87.2;86.4;78.5;66.5;50.1;40.3;USC00041476;41.4219;-120.9017;1313.7;CA
USC00041484;68.9;69.6;73.4;77.8;82.5;88.4;95.1;96.7;92.7;83.8;75.0;68.4;USC00041484;34.1819;-118.5744;240.8;CA
USC00041497;40.6;44;50.4;57.5;67.4;76.4;84.7;83.9;77.0;64.4;48.8;40.1;USC00041497;40.1703;-121.0883;1389.9;CA
USC00041534;61.9;63.5;65.8;69.4;72.7;76.4;78.7;79.8;81.3;77.4;68.0;61.6;USC00041534;36.4806;-121.7244;146.3;CA
USC00041606;43.9;49.9;56.5;63.2;72.5;81.9;90.9;90.7;83.2;69.5;50.8;41.3;USC00041606;41.1417;-123.1392;704.1;CA
USC00041614;40.9;44.7;51.6;57.9;66.9;77.3;87.7;86.6;78.0;65.4;48.7;40.2;USC00041614;41.5306;-120.1803;1408.5;CA
USC00041697;48.1;49.9;54.4;60.4;69.5;79;87.6;87.2;79.7;68.3;54.9;47.4;USC00041697;37.9747;-119.9161;1452.4;CA
