STNID;VALUE1;VALUE2;VALUE3;VALUE4;VALUE5;VALUE6;VALUE7;VALUE8;VALUE9;VALUE10;VALUE11;VALUE12;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12
USC00280690;221R;242R;295R;387R;469R;578R;635R;618R;543R;431R;340R;256R;22.1;24.2;29.5;38.7;46.9;57.8;63.5;61.8;54.3;43.1;34;25.6
USC00280734;189S;206S;277S;372S;469S;565S;615S;601R;523S;405S;323S;239S;18.9;20.6;27.7;37.2;46.9;56.5;61.5;60.1;52.3;40.5;32.3;23.9
USC00280907;194R;210R;287R;392R;487R;583R;631R;614R;531R;412R;332R;244R;19.4;21;28.7;39.2;48.7;58.3;63.1;61.4;53.1;41.2;33.2;24.4
USC00280990;262R;282R;341R;428R;527R;623R;690R;682R;618R;505R;410R;315R;26.2;28.2;34.1;42.8;52.7;62.3;69;68.2;61.8;50.5;41;31.5
USC00281335;183R;203R;280R;381R;473R;573R;624R;607R;527R;402R;324R;236R;18.3;20.3;28;38.1;47.3;57.3;62.4;60.7;52.7;40.2;32.4;23.6
USC00281351;279C;292C;352C;438C;527C;625C;677C;668C;607C;499C;411C;319C;27.9;29.2;35.2;43.8;52.7;62.5;67.7;66.8;60.7;49.9;41.1;31.9
USC00281582;180R;200R;275R;377R;470R;564R;608R;592R;515R;402S;329R;241R;18;20;27.5;37.7;47;56.4;60.8;59.2;51.5;40.2;32.9;24.1
USC00281592;191Q;203Q;274Q;387Q;483Q;587Q;634Q;621Q;538Q;418Q;330Q;234Q;19.1;20.3;27.4;38.7;48.3;58.7;63.4;62.1;53.8;41.8;33;23.4
USC00282023;218C;240C;300C;392C;485C;586C;637C;624C;548C;428C;349C;265C;21.8;24;30;39.2;48.5;58.6;63.7;62.4;54.8;42.8;34.9;26.5
USC00282768;203S;222S;294S;394S;485S;581R;632R;615S;532R;418S;345S;255S;20.3;22.2;29.4;39.4;48.5;58.1;63.2;61.5;53.2;41.8;34.5;25.5
USC00282805;207R;228R;302R;391R;488R;587R;635R;623R;540R;421R;341R;251R;20.7;22.8;30.2;39.1;48.8;58.7;63.5;62.3;54;42.1;34.1;25.1
